video_url,title,singer,Gender,genre,subgenre,channel_type,duration_approx,consent_status,notes,Number of Songs,trim_start,trim_end
https://www.youtube.com/watch?v=dU8AHeKOUQE,Various,Rameshwar Pathak,M,Kamrupi,,Commercial/label upload,38:31,Not contacted,Multi-song compilation - will need internal silence-splitting,8.0,,
https://youtu.be/ITG0I6rgGn0?si=dbiFUMgWoFQk5qrm,Various,Rameshwar Pathak,M,Kamrupi,,Commercial/label upload,43:11,Not contacted,Multi-song -10th song is same as above 3rd - needs to remove,9.0,,
https://youtu.be/a-nHBa_aFw8?si=h2Oyli5IaHB74D8M,Doyamoy dora kora,"Rameshwar Pathak, Dhanada Pathak","M,F",Kamrupi,,Fan/community,5:03,Not contacted,,1.0,,
https://youtu.be/i1AmHbYwoe8?si=gh04H_cDkrp_5A0k,Kor pora ahili Jyoti,Shandhya menon,F,Kamrupi,,Commercial/label upload,5:17,Not contacted,,1.0,,
https://youtu.be/boHG4-h8cTo?si=QoUDx6FLWkHX8nk1,Jonom Dukhi Mohapapi,Kamal Das,M,Kamrupi,,Artist,5:14,Not contacted,,1.0,,
https://youtu.be/YEsuXyVggXM?si=tylax6qcjJ2HVBTR,Kanai jai re,Zubeen Garg,M,Kamrupi,,Commercial/label upload,5:48,Not contacted,"Title mentions a female singer, unable to find in the song",1.0,,
https://youtu.be/o3mRxYqFSro?si=a85_rHSLPsf1aoHw,Lilamotir Biya,Pranita Baishya,F,Kamrupi,,Commercial/label upload,4:18,Not contacted,"Title mentions a male singer, unable to find in the song",1.0,,
https://youtu.be/p_zqs6jNgtc?si=krhi8hd__lJfknXm,Kanai par kora he,Zubeen Garg,M,Kamrupi,,Commercial/label upload,6:35,Not contacted,,1.0,,
https://youtu.be/OVe4yws6inU?si=DqjF-6yhc3-_XUNi,O Phuleswori,Pranita Baishya,F,Kamrupi,,Commercial/label upload,6:40,Not contacted,,1.0,,
https://youtu.be/yj23wJreDy4?si=Q-5GQSr7DBsCQcEP,Aaya chol,Zubeen Garg,M,Kamrupi,,Commercial/label upload,5:56,Not contacted,,1.0,,
https://youtu.be/ipX-Wt968Cg?si=HfYJTio0URu0oOMP,Hip cholil he,Unknown,F,Kamrupi,,Commercial/label upload,4:31,Not contacted,Singer is unknown,1.0,,
https://youtu.be/PWYcW-B_AmE?si=N9HSiS1ZGk4ugDth,O hori shreeguru sankar,"Rameshwar Pathak, Zubeen garg","M,M",Kamrupi,,Commercial/label upload,7:28,Not contacted,,1.0,,
